"","instructor","state","institution","course","religion","christianden","nonrel","rel","raceoriginal","evound","micro","macro","human","evound1","evound2","evound3","evound4","evound5","evound6","evound7","evound8","evound9","evound10","evound11","evound12","evound13","evound14","micro1","micro2","micro3","micro4","micro5","micro6","micro7","micro8","macro1","macro2","macro3","macro4","macro5","macro6","macro7","macro8","human1","human2","human3","human4","human5","human6","human7","human8","rel1","rel2","rel3","rel4","africanamerican","racenative","raceasian","raceblack","racelatinx","raceislander","racewhite","raceother","racedecline","race","gender","religiosity"
"1",43,9,8,63,2,5,NA,2.25,3,0.928571428571429,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,2,2,1,NA,NA,1,NA,NA,NA,NA,NA,1,2,"moderate"
"2",4,1,14,52,2,4,NA,4.25,7,0.571428571428571,4.25,3.375,3.625,0,1,1,1,1,1,0,1,0,1,0,1,0,0,5,4,4,5,4,3,5,4,4,3,3,4,3,4,4,2,4,2,3,4,4,4,4,4,4,5,4,4,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,"high"
"3",11,3,16,56,7,NA,NA,4.75,2,0.714285714285714,5,4.375,4.375,1,0,1,1,1,1,0,1,1,1,1,0,1,0,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,3,5,5,5,5,5,3,4,3,4,5,5,5,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,"high"
"4",3,8,11,48,6,NA,1,1,7,0.857142857142857,4.875,4.625,4.875,1,1,0,1,1,1,1,1,1,1,1,1,1,0,4,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,4,5,5,5,5,5,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,4,2,"low"
"5",1,4,17,55,2,1,NA,4.25,6,0.642857142857143,5,5,5,1,1,1,0,1,1,0,1,1,1,1,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,NA,NA,NA,NA,1,NA,1,NA,NA,3,1,"high"
"6",4,1,14,71,2,5,NA,4,7,0.857142857142857,5,5,4.875,1,0,1,1,1,1,1,1,1,1,1,1,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,4,3,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,"high"
"7",43,9,8,63,6,NA,1,1,7,0.928571428571429,4.5,4.125,4.5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4,5,4,5,5,4,5,4,4,5,5,4,4,5,4,2,4,5,5,4,5,5,4,4,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,4,2,"low"
"8",4,1,14,52,4,NA,NA,2.25,7,0.714285714285714,4.875,3.875,4,1,0,1,1,1,1,1,1,0,1,1,1,0,0,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,4,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,"moderate"
"9",35,3,16,9,6,NA,0,2.75,9,1,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,"moderate"
"10",1,4,17,55,1,NA,NA,2,2,0.571428571428571,4.375,3.875,3.875,1,0,1,1,1,1,1,0,0,1,0,1,0,0,3,5,4,5,5,4,5,4,5,4,4,4,4,3,4,3,5,3,3,4,4,4,4,4,1,2,2,3,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,"low"
