"","ResponseId","course","evound1","evound2","evound3","evound4","evound5","evound6","evound7","evound8","evound9","evound10","evound11","evound12","evound13","evound14","micro1","micro2","micro3","micro4","micro5","micro6","micro7","micro8","macro1","macro2","macro3","macro4","macro5","macro6","macro7","macro8","human1","human2","human3","human4","human5","human6","human7","human8","rel1","rel2","rel3","rel4","rel","evound","microaccept","macroaccept","humaccept","evoaccept","relthirds"
"1","R_00PmUh5x0d5Jkyt",63,1,1,1,1,1,1,1,1,1,1,1,1,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,2,2,2.25,0.928571428571429,5,5,5,5,"mod"
"2","R_00XdFTV0N3OsjgB",74,1,1,1,1,1,1,1,1,0,0,1,0,0,1,4,5,4,4,5,4,5,5,5,4,5,4,4,5,4,3,5,5,5,4,5,5,4,5,1,3,1,3,2,0.714285714285714,4.5,4.25,4.75,4.5,"low"
"3","R_01DAkvFfNN4Go6d",54,1,0,0,1,0,1,1,1,1,1,1,1,1,0,5,5,5,5,5,4,4,4,5,5,2,4,4,2,2,2,2,3,2,2,2,2,4,4,5,5,5,5,5,0.714285714285714,4.625,3.25,2.625,3.5,"high"
"4","R_01EvLfBiZRMkVax",71,1,0,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,4,4,4,4,4,4,4,4,2,3,4,4,2,2,4,3,3,3,3,3,4,4,5,4,4,4.25,0.928571428571429,4.125,3.375,3.125,3.54166666666667,"high"
"5","R_01TMNDA1dbs06Od",34,1,0,1,0,1,1,1,1,0,0,1,1,0,0,4,4,5,4,4,5,3,4,5,4,5,3,4,5,3,3,3,2,3,3,3,3,3,4,3,5,4,5,4.25,0.571428571428571,4.125,4,3,3.70833333333333,"high"
"6","R_01vHk0kwUg8Aw2l",55,1,0,1,0,0,1,1,1,0,1,1,1,0,1,4,4,4,4,4,4,3,3,4,4,3,3,3,4,4,3,3,2,4,4,4,4,3,4,2,5,4,4,3.75,0.642857142857143,3.75,3.5,3.5,3.58333333333333,"mod"
"7","R_02K6BIVyijFK9cl",33,0,0,1,1,0,1,1,1,0,1,1,0,0,0,5,5,4,5,5,4,5,4,5,5,5,4,4,4,5,3,3,4,4,3,4,3,4,4,4,4,4,4,4,0.5,4.625,4.375,3.625,4.20833333333333,"high"
"8","R_03tJA6cMmWcB2PD",29,1,0,1,1,1,1,1,1,1,1,1,1,1,0,5,4,5,5,5,5,5,5,4,5,4,4,5,4,3,3,4,3,4,3,4,4,4,4,4,4,4,3,3.75,0.857142857142857,4.875,4,3.75,4.20833333333333,"mod"
"9","R_03wnYk6E7WnkC2d",43,1,0,1,1,1,1,1,1,1,0,1,1,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,1,5,2.25,0.714285714285714,5,5,5,5,"mod"
"10","R_071oi6AmWgSFo1X",60,1,1,0,1,1,1,1,1,1,1,1,1,1,0,5,2,4,5,5,5,5,4,4,4,4,5,4,5,4,4,4,4,4,4,3,3,4,4,2,3,1,2,2,0.857142857142857,4.375,4.25,3.75,4.125,"low"
"11","R_07BCIS0LKYb0Wul",70,0,0,1,1,0,1,1,1,0,1,1,1,0,1,2,4,4,5,5,3,5,3,4,4,2,1,1,5,4,1,2,5,5,4,4,5,4,4,1,4,1,3,2.25,0.642857142857143,3.875,2.75,4.125,3.58333333333333,"mod"
"12","R_07Eg1c1CGvB8w9j",25,1,0,1,1,1,1,1,1,0,0,0,0,0,0,5,5,4,4,5,4,5,4,4,4,4,3,4,3,3,3,3,3,4,4,4,4,4,3,1,5,3,4,3.25,0.5,4.5,3.5,3.625,3.875,"mod"
"13","R_07HdE9Fz4JRPRgl",41,1,0,1,1,1,1,0,1,0,1,1,1,1,0,5,3,5,5,5,5,5,5,3,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,1,3,2,3,2.25,0.714285714285714,4.75,3.5,4,4.08333333333333,"mod"
"14","R_08SKxbkI4yu2QFj",28,1,1,1,1,1,1,1,1,0,1,1,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.785714285714286,3,3,3,3,"mod"
"15","R_09tmMPk2YiCRUFH",52,0,1,1,1,1,1,0,1,0,1,0,1,0,0,5,4,4,5,4,3,5,4,4,3,3,4,3,4,4,2,4,2,3,4,4,4,4,4,4,5,4,4,4.25,0.571428571428571,4.25,3.375,3.625,3.75,"high"
"16","R_0ANkBaBOk5VPlfz",69,1,1,1,1,1,1,1,1,1,1,1,1,0,0,4,5,5,4,5,5,4,5,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,3,4,3,3,3.25,0.857142857142857,4.625,4.25,4,4.29166666666667,"mod"
"17","R_0BvXDCXnOR84Ss1",14,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,4,4,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,3,2.5,0.857142857142857,4.125,4,4,4.04166666666667,"mod"
"18","R_0c98yiOyex8AaPL",74,1,0,1,1,1,1,1,1,0,1,0,0,1,0,4,4,5,4,4,5,5,5,4,4,4,3,4,4,5,3,3,3,3,3,3,4,3,4,1,4,2,3,2.5,0.642857142857143,4.5,3.875,3.25,3.875,"mod"
"19","R_0caEcsENGqYaojT",8,0,1,1,1,1,1,1,1,1,1,1,0,1,1,5,5,5,5,5,4,5,4,5,5,4,4,5,4,4,3,4,2,4,5,3,3,5,4,1,1,1,3,1.5,0.857142857142857,4.75,4.25,3.75,4.25,"low"
"20","R_0ccVMWDwYbBpVXb",29,0,0,1,1,1,1,1,1,0,1,1,1,0,0,4,4,4,4,2,4,5,5,4,5,4,3,4,4,4,2,4,3,4,4,4,4,3,4,5,5,5,5,5,0.642857142857143,4,3.75,3.75,3.83333333333333,"high"
